XLU,2023-02-01 00:00:00,shap,skewness_3m,MACD_3m,momentum_diff_RSI_3m_6m,momentum_diff_ADX_12m_24m,momentum_diff_RSI_12m_24m,RSI_48m,price_oscillator,bollinger_high_6,momentum_diff_RSI_24m_48m,bollinger_high_48
IYR,2023-02-01 00:00:00,shap,momentum_diff_ROC_12m_24m,volume,obv,bollinger_low_3,BOPGSTB,kurtosis_6m,ROC_48m,momentum_diff_ADX_12m_24m,MACD_3m,bollinger_high_24
IYR,2023-02-01 00:00:00,causal,CPIAUCSL,momentum_diff_ROC_12m_24m,obv,volume,RSI_24m,skewness_3m,price_oscillator,bollinger_low_6,ROC_6m,low
XLV,2023-02-01 00:00:00,selectkbest,MACD_3m,MACD_6m,MACD_12m,MACD_24m,ROC_24m,RSI_48m,MACD_48m,momentum_diff_ROC_12m_24m,momentum_diff_RSI_24m_48m,bollinger_high_3
XLU,2023-02-01 00:00:00,causal,bollinger_high_6,skewness_3m,price_oscillator,momentum_diff_ROC_3m_6m,volume,ROC_12m,ADX_3m,momentum_diff_ADX_12m_24m,UMCSENT,MACD_3m
XLU,2023-02-01 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
IYR,2023-02-01 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLU,2023-02-01 00:00:00,selectkbest,skewness_3m,MACD_3m,MACD_6m,MACD_12m,MACD_24m,RSI_48m,MACD_48m,momentum_diff_ROC_3m_6m,momentum_diff_RSI_24m_48m,bollinger_high_6
IYR,2023-02-01 00:00:00,selectkbest,skewness_6m,kurtosis_6m,MACD_6m,MACD_12m,ROC_12m,RSI_24m,MACD_24m,momentum_diff_ROC_6m_12m,momentum_diff_ROC_12m_24m,price_oscillator
SPY,2023-02-01 00:00:00,causal,bollinger_high_12,RSI_12m,skewness_48m,price_oscillator,bollinger_low_6,momentum_diff_ROC_3m_6m,volume,kurtosis_24m,ADX_48m,momentum_diff_ROC_6m_12m
SPY,2023-02-01 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
VOX,2023-02-01 00:00:00,shap,skewness_6m,ADX_12m,momentum_diff_ADX_3m_6m,momentum_diff_ROC_24m_48m,kurtosis_12m,ADX_24m,volume,skewness_3m,adl,bollinger_high_3
VOX,2023-02-01 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
VOX,2023-02-01 00:00:00,causal,skewness_6m,bollinger_high_12,MACD_3m,high,skewness_3m,momentum_diff_RSI_12m_24m,momentum_diff_ADX_3m_6m,UMCSENT,momentum_diff_ROC_6m_12m,momentum_diff_RSI_6m_12m
SPY,2023-02-01 00:00:00,shap,bollinger_high_12,skewness_48m,RSI_12m,ADX_48m,bollinger_high_6,kurtosis_6m,price_oscillator,momentum_diff_RSI_24m_48m,CPIAUCSL,MACD_3m
VOX,2023-02-01 00:00:00,selectkbest,skewness_3m,skewness_6m,ADX_12m,ADX_24m,ADX_48m,momentum_diff_RSI_3m_6m,momentum_diff_RSI_6m_12m,bollinger_high_12,UNRATE,PPIACO
SPY,2023-02-01 00:00:00,selectkbest,MACD_3m,MACD_6m,ROC_6m,MACD_12m,MACD_24m,RSI_48m,MACD_48m,momentum_diff_ROC_6m_12m,momentum_diff_RSI_24m_48m,bollinger_high_12
XLB,2023-03-01 00:00:00,shap,skewness_6m,RSI_3m,ROC_48m,ADX_3m,MACD_3m,bollinger_low_6,obv,ROC_24m,momentum_diff_ADX_6m_12m,open
XLI,2023-03-01 00:00:00,shap,bollinger_high_12,skewness_24m,skewness_48m,skewness_12m,price_oscillator,kurtosis_6m,MACD_3m,kurtosis_12m,momentum_diff_ROC_24m_48m,bollinger_low_3
XLI,2023-03-01 00:00:00,causal,skewness_6m,bollinger_low_6,bollinger_high_6,bollinger_low_12,UMCSENT,bollinger_low_3,kurtosis_6m,bollinger_high_12,CPIAUCSL,kurtosis_12m
XLB,2023-03-01 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLE,2023-03-01 00:00:00,shap,kurtosis_12m,volume,skewness_6m,price_oscillator,BOPGSTB,low,bollinger_high_3,kurtosis_24m,skewness_12m,open
XLI,2023-03-01 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLE,2023-03-01 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLE,2023-03-01 00:00:00,causal,kurtosis_24m,obv,kurtosis_12m,GDP,volume,bollinger_low_6,ROC_48m,momentum_diff_ROC_12m_24m,ROC_6m,momentum_diff_RSI_6m_12m
XLE,2023-03-01 00:00:00,selectkbest,open,high,low,kurtosis_24m,kurtosis_48m,momentum_diff_ADX_24m_48m,bollinger_high_24,bollinger_low_24,bollinger_high_48,bollinger_low_48
XLK,2023-03-01 00:00:00,causal,momentum_diff_ROC_12m_24m,bollinger_high_6,UMCSENT,bollinger_low_3,obv,price_oscillator,momentum_diff_ROC_3m_6m,momentum_diff_ADX_12m_24m,skewness_6m,bollinger_low_12
XLB,2023-03-01 00:00:00,causal,ROC_48m,skewness_6m,bollinger_low_6,ADX_6m,obv,volume,skewness_3m,bollinger_low_24,RSI_6m,PPO_3m
XLB,2023-03-01 00:00:00,selectkbest,MACD_3m,PPO_3m,MACD_6m,PPO_6m,MACD_12m,PPO_12m,MACD_24m,PPO_24m,PPO_48m,bollinger_low_24
XLK,2023-03-01 00:00:00,shap,bollinger_high_48,skewness_3m,skewness_6m,price_oscillator,momentum_diff_ROC_12m_24m,bollinger_low_12,momentum_diff_ADX_12m_24m,UNRATE,MACD_3m,bollinger_low_6
