date,ETF,Method,model,hyperparam_method,train_period,val_period,RMSE
2019-01-03,XLF,causal,LGBMR,optuna,60,12,0.0344924893880121
2019-01-03,XLF,causal,LGBMR,random,36,12,0.03547624177756579
2019-01-03,XLF,causal,LGBMR,random,60,12,0.034827195221220325
2019-01-03,XLF,causal,RFR,optuna,36,12,0.03313190048982867
2019-01-03,XLF,causal,RFR,optuna,60,12,0.035616759909260956
2019-01-03,XLF,causal,RFR,random,36,12,0.03445484304962446
2019-01-03,XLF,causal,RFR,random,60,12,0.032479273538172475
2019-01-03,XLF,causal,XGBR,optuna,36,12,0.03439259770179327
2019-01-03,XLF,causal,XGBR,optuna,60,12,0.03439685567337793
2019-01-03,XLF,causal,XGBR,random,36,12,0.03528549328418453
2019-01-03,XLF,causal,XGBR,random,60,12,0.03501000138018594
2019-01-03,XLF,selectkbest,LGBMR,optuna,36,12,0.033749144835396525
2019-01-03,XLF,selectkbest,LGBMR,optuna,60,12,0.033817840062281807
2019-01-03,XLF,selectkbest,LGBMR,random,36,12,0.036044049040035504
2019-01-03,XLF,selectkbest,LGBMR,random,60,12,0.036044049040035504
2019-01-03,XLF,selectkbest,RFR,optuna,36,12,0.036152843114768116
2019-01-03,XLF,selectkbest,RFR,optuna,60,12,0.03534664611509166
2019-01-03,XLF,selectkbest,RFR,random,36,12,0.03427260702915004
2019-01-03,XLF,selectkbest,RFR,random,60,12,0.03427260702915004
2019-01-03,XLF,selectkbest,XGBR,optuna,36,12,0.03078067001731105
2019-01-03,XLF,selectkbest,XGBR,optuna,60,12,0.03361248194766047
2019-01-03,XLF,selectkbest,XGBR,random,36,12,0.03518282882201017
2019-01-03,XLF,selectkbest,XGBR,random,60,12,0.03518282882201017
2019-01-03,XLF,shap,LGBMR,optuna,36,12,0.035147823493099355
2019-01-03,XLF,shap,LGBMR,optuna,60,12,0.035677815799615625
2019-01-03,XLF,shap,LGBMR,random,36,12,0.03591783478074839
2019-01-03,XLF,shap,LGBMR,random,60,12,0.03591783478074839
2019-01-03,XLF,shap,RFR,optuna,36,12,0.03136269758756683
2019-01-03,XLF,shap,RFR,optuna,60,12,0.03166299402821368
2019-01-03,XLF,shap,RFR,random,36,12,0.0317470051703239
2019-01-03,XLF,shap,RFR,random,60,12,0.0317470051703239
2019-01-03,XLF,shap,XGBR,optuna,36,12,0.03514962454712948
2019-01-03,XLF,shap,XGBR,optuna,60,12,0.034462851062511145
2019-01-03,XLF,shap,XGBR,random,36,12,0.03318904725535376
2019-01-03,XLF,shap,XGBR,random,60,12,0.03318904725535376
2019-01-03,XLI,causal,LGBMR,optuna,36,12,0.04117594889355855
2019-01-03,XLI,causal,LGBMR,optuna,60,12,0.04110417271490373
2019-01-03,XLI,causal,LGBMR,random,36,12,0.04113481323836529
2019-01-03,XLI,causal,LGBMR,random,60,12,0.04114222853077943
2019-01-03,XLI,causal,RFR,optuna,36,12,0.04014910748160229
2019-01-03,XLI,causal,RFR,optuna,60,12,0.04188341008379548
2019-01-03,XLI,causal,RFR,random,36,12,0.04181028478844983
2019-01-03,XLI,causal,RFR,random,60,12,0.04174423754762771
2019-01-03,XLI,causal,XGBR,optuna,36,12,0.04197914776889663
2019-01-03,XLI,causal,XGBR,optuna,60,12,0.04232173253609593
2019-01-03,XLI,causal,XGBR,random,36,12,0.04129432388215351
2019-01-03,XLI,causal,XGBR,random,60,12,0.041350872665233754
2019-01-03,XLI,selectkbest,LGBMR,optuna,36,12,0.041838500910544585
2019-01-03,XLI,selectkbest,LGBMR,optuna,60,12,0.04183174634073882
2019-01-03,XLI,selectkbest,LGBMR,random,36,12,0.0415798948698401
2019-01-03,XLI,selectkbest,LGBMR,random,60,12,0.0415798948698401
2019-01-03,XLI,selectkbest,RFR,optuna,36,12,0.040426650668536374
2019-01-03,XLI,selectkbest,RFR,optuna,60,12,0.04055913889735932
2019-01-03,XLI,selectkbest,RFR,random,36,12,0.040207095480723945
2019-01-03,XLI,selectkbest,RFR,random,60,12,0.040207095480723945
2019-01-03,XLI,selectkbest,XGBR,optuna,36,12,0.04232516103803481
2019-01-03,XLI,selectkbest,XGBR,optuna,60,12,0.04231696961149638
2019-01-03,XLI,selectkbest,XGBR,random,36,12,0.042253700983327785
2019-01-03,XLI,selectkbest,XGBR,random,60,12,0.042253700983327785
2019-01-03,XLI,shap,LGBMR,optuna,36,12,0.04220448203145661
2019-01-03,XLI,shap,LGBMR,optuna,60,12,0.04192573443924854
2019-01-03,XLI,shap,LGBMR,random,36,12,0.04220448203145661
2019-01-03,XLI,shap,LGBMR,random,60,12,0.04220448203145661
2019-01-03,XLI,shap,RFR,optuna,36,12,0.03971433505959748
2019-01-03,XLI,shap,RFR,optuna,60,12,0.039674816709303846
2019-01-03,XLI,shap,RFR,random,36,12,0.03990383827269433
2019-01-03,XLI,shap,RFR,random,60,12,0.03990383827269433
2019-01-03,XLI,shap,XGBR,optuna,36,12,0.04263015616450472
