n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,Modelo,Metodo,ETF,date
200,6,3,sqrt,30,RFR,random,XLF,2019-04-01
50,2,3,sqrt,10,RFR,random,XLP,2019-04-01
100,4,3,log2,30,RFR,random,XLY,2019-04-01
100,4,3,log2,30,RFR,random,XLV,2019-04-01
200,4,1,sqrt,20,RFR,random,XLU,2019-04-01
200,2,2,log2,30,RFR,random,IYR,2019-04-01
100,4,3,log2,30,RFR,random,VOX,2019-04-01
50,2,3,sqrt,10,RFR,random,XLE,2019-05-01
50,4,2,log2,10,RFR,random,XLB,2019-05-01
200,6,2,log2,20,RFR,random,SPY,2019-05-01
100,4,3,log2,30,RFR,random,XLI,2019-05-01
200,6,3,sqrt,30,RFR,random,XLK,2019-05-01
200,2,2,log2,30,RFR,random,XLF,2019-05-01
200,6,3,sqrt,30,RFR,random,XLP,2019-05-01
200,6,3,sqrt,30,RFR,random,XLY,2019-05-01
50,4,2,log2,10,RFR,random,XLV,2019-05-01
100,4,3,log2,30,RFR,random,XLU,2019-05-01
200,4,1,sqrt,20,RFR,random,IYR,2019-05-01
200,4,1,sqrt,20,RFR,random,VOX,2019-05-01
50,2,3,sqrt,10,RFR,random,XLE,2019-06-03
100,4,3,log2,30,RFR,random,XLB,2019-06-03
200,6,2,log2,20,RFR,random,SPY,2019-06-03
100,4,3,log2,30,RFR,random,XLI,2019-06-03
200,6,3,sqrt,30,RFR,random,XLK,2019-06-03
50,4,2,log2,10,RFR,random,XLF,2019-06-03
50,6,2,log2,20,RFR,random,XLP,2019-06-03
100,4,3,log2,30,RFR,random,XLY,2019-06-03
100,4,3,log2,30,RFR,random,XLV,2019-06-03
100,4,3,log2,30,RFR,random,XLU,2019-06-03
200,6,2,log2,20,RFR,random,IYR,2019-06-03
200,2,2,log2,30,RFR,random,VOX,2019-06-03
50,2,3,sqrt,10,RFR,random,XLB,2019-07-01
50,2,3,sqrt,10,RFR,random,XLE,2019-07-01
200,6,2,log2,20,RFR,random,SPY,2019-07-01
200,6,3,sqrt,30,RFR,random,XLI,2019-07-01
200,6,3,sqrt,30,RFR,random,XLK,2019-07-01
200,2,2,log2,30,RFR,random,XLF,2019-07-01
50,6,2,log2,20,RFR,random,XLP,2019-07-01
200,6,3,sqrt,30,RFR,random,XLY,2019-07-01
200,6,3,sqrt,30,RFR,random,XLV,2019-07-01
200,4,1,sqrt,20,RFR,random,XLU,2019-07-01
100,6,2,log2,30,RFR,random,IYR,2019-07-01
50,2,3,sqrt,10,RFR,random,VOX,2019-07-01
50,2,3,sqrt,10,RFR,random,XLE,2019-08-01
100,4,3,log2,30,RFR,random,XLB,2019-08-01
200,6,2,log2,20,RFR,random,SPY,2019-08-01
100,4,3,log2,30,RFR,random,XLI,2019-08-01
100,4,3,log2,30,RFR,random,XLK,2019-08-01
50,2,3,sqrt,10,RFR,random,XLF,2019-08-01
200,6,3,sqrt,30,RFR,random,XLP,2019-08-01
100,4,3,log2,30,RFR,random,XLY,2019-08-01
200,6,3,sqrt,30,RFR,random,XLV,2019-08-01
100,6,2,log2,30,RFR,random,XLU,2019-08-01
200,2,2,log2,30,RFR,random,IYR,2019-08-01
100,4,3,log2,30,RFR,random,VOX,2019-08-01
200,6,3,sqrt,30,RFR,random,XLE,2019-09-03
200,6,2,log2,20,RFR,random,SPY,2019-09-03
200,2,2,log2,30,RFR,random,XLB,2019-09-03
50,4,2,log2,10,RFR,random,XLI,2019-09-03
200,6,3,sqrt,30,RFR,random,XLK,2019-09-03
50,4,2,log2,10,RFR,random,XLF,2019-09-03
50,2,3,sqrt,10,RFR,random,XLP,2019-09-03
100,4,3,log2,30,RFR,random,XLY,2019-09-03
100,6,2,log2,30,RFR,random,XLU,2019-09-03
200,4,1,sqrt,20,RFR,random,XLV,2019-09-03
200,2,2,log2,30,RFR,random,IYR,2019-09-03
100,4,3,log2,30,RFR,random,VOX,2019-09-03
200,6,3,sqrt,30,RFR,random,XLE,2019-10-01
50,4,2,log2,10,RFR,random,XLB,2019-10-01
200,6,2,log2,20,RFR,random,SPY,2019-10-01
200,2,2,log2,30,RFR,random,XLI,2019-10-01
100,4,3,log2,30,RFR,random,XLK,2019-10-01
200,6,3,sqrt,30,RFR,random,XLF,2019-10-01
50,6,2,log2,20,RFR,random,XLP,2019-10-01
200,6,3,sqrt,30,RFR,random,XLY,2019-10-01
50,4,2,log2,10,RFR,random,XLV,2019-10-01
200,4,1,sqrt,20,RFR,random,XLU,2019-10-01
200,2,2,log2,30,RFR,random,IYR,2019-10-01
200,6,3,sqrt,30,RFR,random,VOX,2019-10-01
50,2,3,sqrt,10,RFR,random,XLE,2019-11-01
200,6,3,sqrt,30,RFR,random,XLB,2019-11-01
200,6,2,log2,20,RFR,random,SPY,2019-11-01
200,6,3,sqrt,30,RFR,random,XLI,2019-11-01
100,4,3,log2,30,RFR,random,XLK,2019-11-01
200,2,2,log2,30,RFR,random,XLF,2019-11-01
50,2,3,sqrt,10,RFR,random,XLP,2019-11-01
100,4,3,log2,30,RFR,random,XLY,2019-11-01
50,2,3,sqrt,10,RFR,random,XLV,2019-11-01
200,4,1,sqrt,20,RFR,random,XLU,2019-11-01
50,2,3,sqrt,10,RFR,random,IYR,2019-11-01
200,2,2,log2,30,RFR,random,VOX,2019-11-01
50,6,2,log2,20,RFR,random,XLE,2019-12-02
100,4,3,log2,30,RFR,random,XLB,2019-12-02
200,6,2,log2,20,RFR,random,SPY,2019-12-02
100,4,3,log2,30,RFR,random,XLI,2019-12-02
200,6,3,sqrt,30,RFR,random,XLK,2019-12-02
200,2,2,log2,30,RFR,random,XLF,2019-12-02
200,6,3,sqrt,30,RFR,random,XLP,2019-12-02
200,6,3,sqrt,30,RFR,random,XLY,2019-12-02
100,4,3,log2,30,RFR,random,XLV,2019-12-02
100,6,2,log2,30,RFR,random,XLU,2019-12-02
50,2,3,sqrt,10,RFR,random,IYR,2019-12-02
200,6,3,sqrt,30,RFR,random,VOX,2019-12-02
50,6,2,log2,20,RFR,random,XLE,2020-01-02
200,6,2,log2,20,RFR,random,SPY,2020-01-02
200,6,3,sqrt,30,RFR,random,XLB,2020-01-02
200,6,3,sqrt,30,RFR,random,XLI,2020-01-02
200,6,3,sqrt,30,RFR,random,XLK,2020-01-02
100,4,3,log2,30,RFR,random,XLF,2020-01-02
50,2,3,sqrt,10,RFR,random,XLP,2020-01-02
50,2,3,sqrt,10,RFR,random,XLY,2020-01-02
200,6,3,sqrt,30,RFR,random,XLV,2020-01-02
200,6,3,sqrt,30,RFR,random,XLU,2020-01-02
50,2,3,sqrt,10,RFR,random,IYR,2020-01-02
200,6,3,sqrt,30,RFR,random,VOX,2020-01-02
60,29,4,3,sqrt,RFR,optuna,XLI,2019-01-03
161,20,5,3,sqrt,RFR,optuna,SPY,2019-01-03
52,24,3,2,sqrt,RFR,optuna,XLP,2019-01-03
86,22,6,1,sqrt,RFR,optuna,XLU,2019-01-03
103,24,4,1,sqrt,RFR,optuna,XLF,2019-01-03
187,24,3,2,log2,RFR,optuna,XLE,2019-01-03
117,24,3,2,log2,RFR,optuna,XLK,2019-01-03
131,21,4,1,sqrt,RFR,optuna,XLB,2019-01-03
115,23,2,2,log2,RFR,optuna,XLV,2019-01-03
71,22,4,1,log2,RFR,optuna,IYR,2019-01-03
198,11,6,1,sqrt,RFR,optuna,XLY,2019-01-03
150,15,3,2,sqrt,RFR,optuna,VOX,2019-01-03
59,25,3,3,sqrt,RFR,optuna,XLE,2019-02-01
61,10,5,3,log2,RFR,optuna,XLB,2019-02-01
149,21,3,1,log2,RFR,optuna,SPY,2019-02-01
159,24,5,3,log2,RFR,optuna,XLI,2019-02-01
123,14,4,3,log2,RFR,optuna,XLP,2019-02-01
104,18,2,3,log2,RFR,optuna,XLY,2019-02-01
111,25,2,3,log2,RFR,optuna,XLU,2019-02-01
118,24,6,1,log2,RFR,optuna,XLF,2019-02-01
155,15,5,3,log2,RFR,optuna,XLK,2019-02-01
159,20,5,2,sqrt,RFR,optuna,XLV,2019-02-01
110,23,2,2,log2,RFR,optuna,IYR,2019-02-01
167,27,3,3,sqrt,RFR,optuna,VOX,2019-02-01
93,14,2,2,sqrt,RFR,optuna,SPY,2019-03-01
67,28,4,3,log2,RFR,optuna,XLB,2019-03-01
71,27,2,2,log2,RFR,optuna,XLK,2019-03-01
90,26,5,1,log2,RFR,optuna,XLU,2019-03-01
140,30,5,1,sqrt,RFR,optuna,XLF,2019-03-01
171,29,4,2,sqrt,RFR,optuna,XLE,2019-03-01
108,30,2,1,log2,RFR,optuna,XLP,2019-03-01
199,24,4,3,log2,RFR,optuna,XLI,2019-03-01
97,18,3,3,log2,RFR,optuna,XLV,2019-03-01
195,11,4,3,log2,RFR,optuna,XLY,2019-03-01
161,13,3,1,sqrt,RFR,optuna,IYR,2019-03-01
169,18,3,3,sqrt,RFR,optuna,VOX,2019-03-01
106,15,6,1,log2,RFR,optuna,SPY,2019-04-01
51,30,6,3,sqrt,RFR,optuna,XLK,2019-04-01
50,23,2,3,log2,RFR,optuna,XLP,2019-04-01
122,18,6,3,log2,RFR,optuna,XLB,2019-04-01
131,22,4,2,log2,RFR,optuna,XLE,2019-04-01
119,17,4,1,sqrt,RFR,optuna,XLI,2019-04-01
74,27,5,1,sqrt,RFR,optuna,XLU,2019-04-01
141,18,3,1,log2,RFR,optuna,XLF,2019-04-01
121,21,3,3,log2,RFR,optuna,XLY,2019-04-01
102,13,4,3,sqrt,RFR,optuna,VOX,2019-04-01
141,28,2,1,sqrt,RFR,optuna,XLV,2019-04-01
166,18,3,2,log2,RFR,optuna,IYR,2019-04-01
50,19,3,2,log2,RFR,optuna,XLB,2019-05-01
70,19,5,3,sqrt,RFR,optuna,XLE,2019-05-01
62,28,3,2,sqrt,RFR,optuna,SPY,2019-05-01
72,21,2,3,log2,RFR,optuna,XLP,2019-05-01
88,19,6,1,log2,RFR,optuna,XLF,2019-05-01
119,10,5,3,log2,RFR,optuna,XLI,2019-05-01
107,20,4,2,log2,RFR,optuna,XLV,2019-05-01
194,20,4,3,log2,RFR,optuna,XLK,2019-05-01
122,25,6,1,log2,RFR,optuna,XLU,2019-05-01
197,20,6,3,log2,RFR,optuna,XLY,2019-05-01
153,21,2,1,sqrt,RFR,optuna,IYR,2019-05-01
182,30,5,1,sqrt,RFR,optuna,VOX,2019-05-01
57,30,5,3,log2,RFR,optuna,XLE,2019-06-03
198,13,4,3,log2,RFR,optuna,SPY,2019-06-03
71,30,4,3,sqrt,RFR,optuna,XLB,2019-06-03
77,14,3,2,log2,RFR,optuna,XLF,2019-06-03
81,23,5,1,sqrt,RFR,optuna,XLP,2019-06-03
104,23,4,3,log2,RFR,optuna,XLI,2019-06-03
50,10,5,2,sqrt,RFR,optuna,XLV,2019-06-03
112,17,2,3,log2,RFR,optuna,XLU,2019-06-03
148,11,3,3,sqrt,RFR,optuna,XLK,2019-06-03
129,26,5,3,log2,RFR,optuna,VOX,2019-06-03
197,11,5,1,log2,RFR,optuna,IYR,2019-06-03
180,17,4,3,log2,RFR,optuna,XLY,2019-06-03
51,17,4,3,sqrt,RFR,optuna,XLE,2019-07-01
50,26,6,3,log2,RFR,optuna,XLB,2019-07-01
108,13,3,1,sqrt,RFR,optuna,SPY,2019-07-01
51,23,5,2,sqrt,RFR,optuna,VOX,2019-07-01
73,28,2,3,log2,RFR,optuna,XLP,2019-07-01
142,27,2,1,sqrt,RFR,optuna,XLU,2019-07-01
110,23,5,2,sqrt,RFR,optuna,IYR,2019-07-01
141,21,6,1,log2,RFR,optuna,XLF,2019-07-01
163,25,5,3,log2,RFR,optuna,XLK,2019-07-01
170,14,6,3,sqrt,RFR,optuna,XLY,2019-07-01
172,14,4,3,log2,RFR,optuna,XLI,2019-07-01
163,10,5,3,sqrt,RFR,optuna,XLV,2019-07-01
72,28,6,3,log2,RFR,optuna,XLI,2019-08-01
113,21,4,1,log2,RFR,optuna,SPY,2019-08-01
139,10,3,3,sqrt,RFR,optuna,XLB,2019-08-01
53,22,5,3,log2,RFR,optuna,XLF,2019-08-01
141,30,2,3,sqrt,RFR,optuna,XLE,2019-08-01
111,14,6,3,log2,RFR,optuna,XLK,2019-08-01
195,14,6,1,log2,RFR,optuna,XLU,2019-08-01
148,15,5,3,log2,RFR,optuna,XLY,2019-08-01
63,11,5,2,sqrt,RFR,optuna,VOX,2019-08-01
90,16,3,1,sqrt,RFR,optuna,IYR,2019-08-01
181,30,2,3,log2,RFR,optuna,XLP,2019-08-01
174,26,5,3,log2,RFR,optuna,XLV,2019-08-01
67,24,4,3,sqrt,RFR,optuna,SPY,2019-09-03
72,21,4,2,log2,RFR,optuna,XLI,2019-09-03
94,28,4,2,sqrt,RFR,optuna,XLF,2019-09-03
119,18,5,1,sqrt,RFR,optuna,XLU,2019-09-03
156,10,5,3,sqrt,RFR,optuna,XLE,2019-09-03
147,23,3,2,sqrt,RFR,optuna,XLB,2019-09-03
139,28,2,3,sqrt,RFR,optuna,XLP,2019-09-03
134,24,5,3,sqrt,RFR,optuna,XLY,2019-09-03
160,24,2,1,log2,RFR,optuna,XLV,2019-09-03
102,23,4,3,log2,RFR,optuna,VOX,2019-09-03
131,25,4,2,log2,RFR,optuna,IYR,2019-09-03
186,14,3,3,log2,RFR,optuna,XLK,2019-09-03
148,25,3,1,sqrt,RFR,optuna,SPY,2019-10-01
70,27,3,2,sqrt,RFR,optuna,XLB,2019-10-01
51,23,6,1,sqrt,RFR,optuna,XLU,2019-10-01
75,30,2,2,log2,RFR,optuna,XLV,2019-10-01
120,11,6,3,log2,RFR,optuna,XLK,2019-10-01
134,22,3,2,sqrt,RFR,optuna,XLI,2019-10-01
182,10,3,3,log2,RFR,optuna,XLE,2019-10-01
200,17,6,3,log2,RFR,optuna,XLF,2019-10-01
188,18,5,3,log2,RFR,optuna,XLY,2019-10-01
182,30,2,1,log2,RFR,optuna,XLP,2019-10-01
183,17,5,3,log2,RFR,optuna,IYR,2019-10-01
197,26,3,3,sqrt,RFR,optuna,VOX,2019-10-01
50,18,5,3,log2,RFR,optuna,XLE,2019-11-01
75,23,3,3,sqrt,RFR,optuna,SPY,2019-11-01
96,15,6,3,sqrt,RFR,optuna,XLK,2019-11-01
78,12,4,3,log2,RFR,optuna,XLP,2019-11-01
143,22,6,3,sqrt,RFR,optuna,XLB,2019-11-01
82,25,5,3,log2,RFR,optuna,XLV,2019-11-01
140,19,6,1,sqrt,RFR,optuna,XLI,2019-11-01
100,12,4,1,sqrt,RFR,optuna,XLU,2019-11-01
59,19,2,2,log2,RFR,optuna,IYR,2019-11-01
