date,Method,model,hyperparam_method,train_period,val_period,RMSE
2019-03-01,shap,LGBMR,optuna,60,12,0.03761335923844258
2019-03-01,shap,LGBMR,random,36,12,0.037694843874955836
2019-03-01,shap,LGBMR,random,60,12,0.037694843874955836
2019-03-01,shap,RFR,optuna,36,12,0.03614270758091421
2019-03-01,shap,RFR,optuna,60,12,0.03627111099437333
2019-03-01,shap,RFR,random,36,12,0.03632770953738194
2019-03-01,shap,RFR,random,60,12,0.03632770953738194
2019-03-01,shap,XGBR,optuna,36,12,0.03794039712916125
2019-03-01,shap,XGBR,optuna,60,12,0.03774102988771068
2019-03-01,shap,XGBR,random,36,12,0.03696621876423973
2019-03-01,shap,XGBR,random,60,12,0.03696621876423973
2019-04-01,causal,LGBMR,optuna,36,12,0.03668008146856885
2019-04-01,causal,LGBMR,optuna,60,12,0.03628631877212928
2019-04-01,causal,LGBMR,random,36,12,0.03653223497196214
2019-04-01,causal,LGBMR,random,60,12,0.03683226677797553
2019-04-01,causal,RFR,optuna,36,12,0.03620158602012245
2019-04-01,causal,RFR,optuna,60,12,0.03587583603171177
2019-04-01,causal,RFR,random,36,12,0.03566751733834159
2019-04-01,causal,RFR,random,60,12,0.03593094146182901
2019-04-01,causal,XGBR,optuna,36,12,0.03589548681901926
2019-04-01,causal,XGBR,optuna,60,12,0.036077498996145055
2019-04-01,causal,XGBR,random,36,12,0.03626854407945578
2019-04-01,causal,XGBR,random,60,12,0.03626337408555494
2019-04-01,selectkbest,LGBMR,optuna,36,12,0.03650749409976977
2019-04-01,selectkbest,LGBMR,optuna,60,12,0.03662826296556209
2019-04-01,selectkbest,LGBMR,random,36,12,0.03631318834565598
2019-04-01,selectkbest,LGBMR,random,60,12,0.03631318834565598
2019-04-01,selectkbest,RFR,optuna,36,12,0.036201729046244795
2019-04-01,selectkbest,RFR,optuna,60,12,0.0362339715944218
2019-04-01,selectkbest,RFR,random,36,12,0.036400184520879154
2019-04-01,selectkbest,RFR,random,60,12,0.036400184520879154
2019-04-01,selectkbest,XGBR,optuna,36,12,0.036549452291461094
2019-04-01,selectkbest,XGBR,optuna,60,12,0.03610534667324821
2019-04-01,selectkbest,XGBR,random,36,12,0.03752130227568354
2019-04-01,selectkbest,XGBR,random,60,12,0.03752130227568354
2019-04-01,shap,LGBMR,optuna,36,12,0.0360705586655272
2019-04-01,shap,LGBMR,optuna,60,12,0.03624029174953878
2019-04-01,shap,LGBMR,random,36,12,0.03614951503809959
2019-04-01,shap,LGBMR,random,60,12,0.03614951503809959
2019-04-01,shap,RFR,optuna,36,12,0.03514113773981558
2019-04-01,shap,RFR,optuna,60,12,0.03510252021173942
2019-04-01,shap,RFR,random,36,12,0.035144152179893584
2019-04-01,shap,RFR,random,60,12,0.035144152179893584
2019-04-01,shap,XGBR,optuna,36,12,0.0364685759362585
2019-04-01,shap,XGBR,optuna,60,12,0.036469316076600845
2019-04-01,shap,XGBR,random,36,12,0.035819710009564375
2019-04-01,shap,XGBR,random,60,12,0.035819710009564375
2019-05-01,causal,LGBMR,optuna,36,12,0.035751830786859694
2019-05-01,causal,LGBMR,optuna,60,12,0.03590338708560543
2019-05-01,causal,LGBMR,random,36,12,0.03594084787720073
2019-05-01,causal,LGBMR,random,60,12,0.03572388520753026
2019-05-01,causal,RFR,optuna,36,12,0.0357114107880549
