date,Method,ETF,RMSE
2023-06-01,selectkbest,VOX,0.07004598894334371
2023-06-01,shap,SPY,0.06035440658940425
2023-06-01,selectkbest,SPY,0.060079678499286554
2023-06-01,selectkbest,IYR,0.07269281287327863
2023-07-03,estatico,XLI,0.07052527814288741
2023-07-03,shap,XLK,0.08433863287738398
2023-07-03,estatico,XLB,0.08241650648716659
2023-07-03,causal,XLI,0.06990007168027675
2023-07-03,estatico,XLE,0.10346416043697344
2023-07-03,causal,XLB,0.07288834284240618
2023-07-03,estatico,XLK,0.0839457333518881
2023-07-03,shap,XLI,0.06837142343496388
2023-07-03,selectkbest,XLE,0.09862272919937894
2023-07-03,shap,XLB,0.07630330440728397
2023-07-03,shap,XLE,0.09532055672956992
2023-07-03,causal,XLE,0.09322175085218273
2023-07-03,causal,XLK,0.0820128832742345
2023-07-03,selectkbest,XLB,0.07643129453255153
2023-07-03,selectkbest,XLI,0.06890377823788198
2023-07-03,selectkbest,XLK,0.08175388619600485
2023-07-03,estatico,XLF,0.07213286039266885
2023-07-03,shap,XLF,0.06979622343512798
2023-07-03,causal,XLF,0.07233062963268326
2023-07-03,estatico,XLP,0.047600823995636476
2023-07-03,causal,XLP,0.049919873515515065
2023-07-03,shap,XLP,0.05725197930302291
2023-07-03,shap,XLY,0.08936793715660031
2023-07-03,causal,XLY,0.0894267037172769
2023-07-03,estatico,XLY,0.0882817074373028
2023-07-03,selectkbest,XLF,0.06889213356529661
2023-07-03,shap,XLV,0.045566509166445245
2023-07-03,causal,XLV,0.04352020771820634
2023-07-03,selectkbest,XLP,0.051020972226449635
2023-07-03,estatico,XLV,0.04512099619328
2023-07-03,selectkbest,XLY,0.08875951356924205
2023-07-03,selectkbest,XLV,0.04480103202569897
2023-07-03,shap,XLU,0.05255520137020331
2023-07-03,causal,XLU,0.05070943066119125
2023-07-03,causal,IYR,0.06884204825719512
2023-07-03,estatico,XLU,0.05361994364165992
2023-07-03,estatico,IYR,0.06994819032759958
2023-07-03,shap,IYR,0.07223306203800013
2023-07-03,shap,SPY,0.06225147970835622
2023-07-03,estatico,VOX,0.06995863927784453
2023-07-03,causal,SPY,0.06065712690799285
2023-07-03,selectkbest,XLU,0.05291208090694273
2023-07-03,causal,VOX,0.07119889454240277
2023-07-03,shap,VOX,0.06954159994923327
2023-07-03,selectkbest,IYR,0.0708018834850635
2023-07-03,estatico,SPY,0.06384170465828723
2023-07-03,selectkbest,SPY,0.06160803790315245
2023-07-03,selectkbest,VOX,0.0692677871242253
2023-08-01,selectkbest,XLE,0.08479518673687843
2023-08-01,causal,XLI,0.06582988571532725
2023-08-01,causal,XLK,0.07531756199891083
2023-08-01,selectkbest,XLI,0.06541854992738458
2023-08-01,estatico,XLK,0.07862051384694395
2023-08-01,estatico,XLE,0.08409442773718662
2023-08-01,selectkbest,XLB,0.06497082675260607
2023-08-01,estatico,XLB,0.06789253450769839
2023-08-01,causal,XLB,0.06298328108113029
2023-08-01,shap,XLE,0.08250147164275362
2023-08-01,shap,XLK,0.0771612251995054
2023-08-01,shap,XLB,0.06485213709665001
2023-08-01,shap,XLI,0.06455508582167513
2023-08-01,estatico,XLI,0.0660736813385181
2023-08-01,causal,XLE,0.08258719359949884
2023-08-01,selectkbest,XLK,0.07615534259243169
2023-08-01,shap,XLF,0.06519525099525143
2023-08-01,causal,XLF,0.06604943248975254
2023-08-01,estatico,XLF,0.06576535167931637
2023-08-01,causal,XLP,0.047850647046650194
2023-08-01,shap,XLP,0.05688772517199596
2023-08-01,estatico,XLP,0.046339541081088155
2023-08-01,causal,XLY,0.08339993921033097
2023-08-01,selectkbest,XLF,0.06458807882119481
2023-08-01,estatico,XLY,0.08080719728078106
2023-08-01,shap,XLY,0.08353659608185197
2023-08-01,shap,XLV,0.04473287602873758
2023-08-01,selectkbest,XLP,0.04918014620158811
2023-08-01,causal,XLV,0.04547212588587685
2023-08-01,selectkbest,XLY,0.08191529937065291
2023-08-01,estatico,XLV,0.042855978432894216
2023-08-01,shap,XLU,0.05310365941174656
2023-08-01,causal,XLU,0.05533261100027631
2023-08-01,selectkbest,XLV,0.04290496306019888
2023-08-01,causal,IYR,0.06513024362882663
2023-08-01,estatico,XLU,0.05227451116786889
2023-08-01,shap,IYR,0.06602782867040415
2023-08-01,estatico,IYR,0.06614435588609055
2023-08-01,selectkbest,XLU,0.051676098883402
2023-08-01,shap,VOX,0.06687909493180952
