XLI,2019-02-01 00:00:00,selectkbest,kurtosis_6m,ROC_12m,RSI_24m,ROC_24m,RSI_48m,ROC_48m,ADX_48m,momentum_diff_RSI_12m_24m,momentum_diff_ROC_24m_48m,price_oscillator
XLF,2019-02-01 00:00:00,selectkbest,kurtosis_6m,kurtosis_12m,ROC_3m,ROC_6m,ROC_12m,ADX_24m,PPO_48m,ADX_48m,momentum_diff_ROC_3m_6m,momentum_diff_ROC_6m_12m
XLK,2019-02-01 00:00:00,selectkbest,ROC_3m,RSI_12m,ROC_24m,ADX_24m,RSI_48m,ADX_48m,momentum_diff_ROC_12m_24m,momentum_diff_RSI_24m_48m,momentum_diff_ROC_24m_48m,momentum_diff_ADX_24m_48m
XLP,2019-02-01 00:00:00,causal,ADX_3m,bollinger_low_12,bollinger_low_3,volume,bollinger_high_6,momentum_diff_ROC_6m_12m,momentum_diff_ADX_6m_12m,ROC_48m,TB3MS,momentum_diff_ADX_3m_6m
XLY,2019-02-01 00:00:00,shap,skewness_12m,obv,bollinger_high_12,ROC_24m,MACD_3m,RSI_3m,ADX_12m,UMCSENT,month,ROC_3m
XLP,2019-02-01 00:00:00,selectkbest,MACD_3m,ADX_3m,MACD_6m,MACD_12m,MACD_24m,MACD_48m,momentum_diff_ADX_6m_12m,bollinger_low_3,bollinger_low_6,obv
XLU,2019-02-01 00:00:00,causal,price_oscillator,BOPGSTB,ADX_3m,RSI_6m,skewness_3m,T10Y2Y,RSI_12m,ADX_6m,week_of_year,adl
XLY,2019-02-01 00:00:00,causal,skewness_12m,bollinger_high_12,FEDFUNDS,bollinger_low_6,adl,bollinger_high_3,RSI_3m,skewness_3m,BOPGSTB,ROC_24m
XLV,2019-02-01 00:00:00,causal,bollinger_low_3,skewness_3m,ROC_24m,skewness_12m,bollinger_high_3,momentum_diff_RSI_12m_24m,ROC_6m,week_of_year,skewness_24m,price_oscillator
XLU,2019-02-01 00:00:00,shap,price_oscillator,MACD_3m,week_of_year,BOPGSTB,momentum_diff_RSI_3m_6m,PPIACO,momentum_diff_ROC_24m_48m,skewness_3m,volume,RSI_6m
XLV,2019-02-01 00:00:00,shap,open,price_oscillator,bollinger_high_3,bollinger_low_6,skewness_3m,ROC_3m,adl,kurtosis_12m,ROC_6m,momentum_diff_RSI_12m_24m
XLV,2019-02-01 00:00:00,selectkbest,ROC_3m,RSI_6m,ROC_6m,RSI_12m,RSI_24m,momentum_diff_ROC_3m_6m,momentum_diff_RSI_6m_12m,momentum_diff_RSI_12m_24m,bollinger_high_3,price_oscillator
XLY,2019-02-01 00:00:00,selectkbest,MACD_3m,MACD_6m,MACD_12m,RSI_24m,MACD_24m,MACD_48m,ADX_48m,momentum_diff_ROC_12m_24m,momentum_diff_ROC_24m_48m,momentum_diff_ADX_24m_48m
IYR,2019-02-01 00:00:00,shap,obv,ADX_6m,RSI_12m,bollinger_low_12,skewness_3m,momentum_diff_ROC_3m_6m,momentum_diff_ADX_3m_6m,BOPGSTB,bollinger_high_3,ROC_12m
IYR,2019-02-01 00:00:00,causal,obv,bollinger_low_6,BOPGSTB,week_of_year,momentum_diff_ROC_3m_6m,ADX_12m,ADX_6m,ROC_12m,momentum_diff_ADX_3m_6m,TB3MS
VOX,2019-02-01 00:00:00,shap,low,momentum_diff_ROC_6m_12m,skewness_6m,PPIACO,obv,ROC_24m,ROC_6m,RSI_24m,skewness_3m,ROC_48m
VOX,2019-02-01 00:00:00,causal,low,skewness_6m,momentum_diff_ROC_6m_12m,adl,obv,RSI_6m,ROC_24m,RSI_24m,bollinger_high_12,bollinger_high_3
