n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,Modelo,Metodo,ETF,date
113,16,5,3,sqrt,RFR,5,XLE,2023-01-31
50,30,6,2,sqrt,RFR,5,XLI,2023-01-31
64,18,2,3,log2,RFR,5,XLI,2023-01-31
51,13,5,3,sqrt,RFR,5,XLK,2023-01-31
67,26,4,3,log2,RFR,5,XLB,2023-01-31
78,20,6,1,sqrt,RFR,5,XLI,2023-01-31
184,25,3,3,log2,RFR,5,XLE,2023-01-31
105,25,3,2,sqrt,RFR,5,XLK,2023-01-31
56,11,2,3,sqrt,RFR,5,XLE,2023-01-31
55,21,4,3,log2,RFR,5,XLB,2023-01-31
175,10,6,3,sqrt,RFR,5,XLK,2023-01-31
55,10,2,2,sqrt,RFR,5,XLI,2023-01-31
98,18,3,3,log2,RFR,5,XLK,2023-01-31
63,20,4,3,sqrt,RFR,5,XLF,2023-01-31
52,24,2,2,log2,RFR,5,XLF,2023-01-31
134,14,3,1,sqrt,RFR,5,XLF,2023-01-31
73,20,4,1,log2,RFR,5,XLY,2023-01-31
71,30,3,3,sqrt,RFR,5,XLP,2023-01-31
72,29,6,3,log2,RFR,5,XLP,2023-01-31
143,15,2,3,sqrt,RFR,5,XLP,2023-01-31
116,17,5,2,sqrt,RFR,5,XLY,2023-01-31
65,17,6,3,sqrt,RFR,5,XLV,2023-01-31
136,26,6,2,log2,RFR,5,XLY,2023-01-31
137,18,5,3,log2,RFR,5,XLF,2023-01-31
170,30,4,3,log2,RFR,5,XLV,2023-01-31
86,10,4,3,sqrt,RFR,5,XLY,2023-01-31
173,23,3,2,log2,RFR,5,XLP,2023-01-31
196,21,4,3,log2,RFR,5,XLV,2023-01-31
50,30,6,3,log2,RFR,5,XLU,2023-01-31
50,27,3,3,sqrt,RFR,5,IYR,2023-01-31
56,17,4,2,log2,RFR,5,IYR,2023-01-31
199,16,5,3,sqrt,RFR,5,XLV,2023-01-31
184,22,4,3,log2,RFR,5,XLU,2023-01-31
138,14,2,1,sqrt,RFR,5,XLU,2023-01-31
57,30,3,3,log2,RFR,5,IYR,2023-01-31
65,15,5,3,log2,RFR,5,XLU,2023-01-31
50,20,5,1,sqrt,RFR,5,IYR,2023-01-31
55,15,4,3,log2,RFR,5,SPY,2023-01-31
83,24,2,2,log2,RFR,5,SPY,2023-01-31
199,18,5,3,sqrt,RFR,5,VOX,2023-01-31
93,30,6,1,sqrt,RFR,5,VOX,2023-01-31
200,16,2,3,sqrt,RFR,5,VOX,2023-01-31
199,24,5,2,sqrt,RFR,5,SPY,2023-01-31
167,19,3,3,sqrt,RFR,5,VOX,2023-01-31
163,30,5,2,log2,RFR,5,SPY,2023-01-31
67,15,6,3,log2,RFR,5,XLB,2023-02-28
50,23,6,2,log2,RFR,5,XLI,2023-02-28
50,16,2,3,sqrt,RFR,5,XLI,2023-02-28
77,26,5,2,sqrt,RFR,5,XLB,2023-02-28
141,26,2,3,log2,RFR,5,XLE,2023-02-28
53,14,2,3,log2,RFR,5,XLI,2023-02-28
109,27,3,3,log2,RFR,5,XLE,2023-02-28
199,30,3,3,log2,RFR,5,XLE,2023-02-28
56,23,2,3,log2,RFR,5,XLE,2023-02-28
86,17,4,3,log2,RFR,5,XLK,2023-02-28
199,16,2,3,log2,RFR,5,XLB,2023-02-28
80,15,6,3,sqrt,RFR,5,XLB,2023-02-28
156,10,6,3,log2,RFR,5,XLK,2023-02-28
68,21,4,2,log2,RFR,5,XLI,2023-02-28
169,26,6,3,sqrt,RFR,5,XLK,2023-02-28
103,14,2,3,sqrt,RFR,5,XLK,2023-02-28
51,23,3,3,log2,RFR,5,XLF,2023-02-28
76,28,2,3,sqrt,RFR,5,XLP,2023-02-28
70,24,5,2,sqrt,RFR,5,XLF,2023-02-28
70,28,5,3,log2,RFR,5,XLP,2023-02-28
160,19,4,3,log2,RFR,5,XLF,2023-02-28
193,24,2,3,sqrt,RFR,5,XLP,2023-02-28
58,30,5,3,sqrt,RFR,5,XLF,2023-02-28
74,17,3,2,sqrt,RFR,5,XLP,2023-02-28
76,22,4,1,sqrt,RFR,5,XLY,2023-02-28
186,24,2,2,log2,RFR,5,XLY,2023-02-28
62,30,6,3,sqrt,RFR,5,XLV,2023-02-28
187,20,6,3,sqrt,RFR,5,XLY,2023-02-28
165,17,3,3,log2,RFR,5,XLV,2023-02-28
172,19,3,3,sqrt,RFR,5,XLY,2023-02-28
60,26,3,3,log2,RFR,5,XLU,2023-02-28
172,21,3,3,log2,RFR,5,XLV,2023-02-28
160,15,2,3,sqrt,RFR,5,XLU,2023-02-28
68,29,6,2,log2,RFR,5,XLU,2023-02-28
62,11,3,2,sqrt,RFR,5,IYR,2023-02-28
54,10,5,2,sqrt,RFR,5,IYR,2023-02-28
95,16,5,3,log2,RFR,5,XLU,2023-02-28
194,21,5,3,log2,RFR,5,XLV,2023-02-28
104,16,5,3,sqrt,RFR,5,IYR,2023-02-28
51,22,6,2,log2,RFR,5,VOX,2023-02-28
55,11,5,1,log2,RFR,5,IYR,2023-02-28
199,25,5,3,log2,RFR,5,VOX,2023-02-28
177,23,4,3,log2,RFR,5,VOX,2023-02-28
54,29,4,3,sqrt,RFR,5,VOX,2023-02-28
50,18,3,3,log2,RFR,5,SPY,2023-02-28
141,10,4,1,log2,RFR,5,SPY,2023-02-28
199,14,4,3,sqrt,RFR,5,SPY,2023-02-28
153,15,2,3,log2,RFR,5,SPY,2023-02-28
50,30,2,3,log2,RFR,5,XLB,2023-03-31
138,10,4,3,sqrt,RFR,5,XLE,2023-03-31
112,22,2,3,sqrt,RFR,5,XLB,2023-03-31
82,27,2,3,log2,RFR,5,XLI,2023-03-31
73,24,5,2,log2,RFR,5,XLI,2023-03-31
139,17,5,1,sqrt,RFR,5,XLI,2023-03-31
182,13,5,3,log2,RFR,5,XLE,2023-03-31
181,19,3,3,log2,RFR,5,XLE,2023-03-31
167,30,4,3,log2,RFR,5,XLB,2023-03-31
54,15,5,2,log2,RFR,5,XLI,2023-03-31
70,19,5,3,sqrt,RFR,5,XLB,2023-03-31
177,24,2,3,log2,RFR,5,XLK,2023-03-31
87,12,6,3,sqrt,RFR,5,XLK,2023-03-31
172,21,4,3,sqrt,RFR,5,XLK,2023-03-31
172,29,5,3,sqrt,RFR,5,XLE,2023-03-31
50,23,5,3,log2,RFR,5,XLF,2023-03-31
64,13,5,2,log2,RFR,5,XLF,2023-03-31
200,17,6,3,sqrt,RFR,5,XLK,2023-03-31
71,30,4,3,sqrt,RFR,5,XLP,2023-03-31
127,28,5,3,log2,RFR,5,XLF,2023-03-31
150,22,3,2,sqrt,RFR,5,XLP,2023-03-31
100,10,5,1,log2,RFR,5,XLY,2023-03-31
127,10,5,1,log2,RFR,5,XLY,2023-03-31
170,10,4,3,log2,RFR,5,XLP,2023-03-31
88,30,5,3,log2,RFR,5,XLV,2023-03-31
81,12,6,3,sqrt,RFR,5,XLF,2023-03-31
113,14,2,2,log2,RFR,5,XLP,2023-03-31
172,27,3,3,sqrt,RFR,5,XLY,2023-03-31
190,10,4,3,log2,RFR,5,XLV,2023-03-31
172,16,3,3,sqrt,RFR,5,XLY,2023-03-31
176,10,2,3,log2,RFR,5,XLV,2023-03-31
181,24,3,3,sqrt,RFR,5,XLU,2023-03-31
100,19,4,3,sqrt,RFR,5,XLU,2023-03-31
199,30,5,3,log2,RFR,5,XLV,2023-03-31
74,30,6,2,sqrt,RFR,5,IYR,2023-03-31
176,22,6,2,log2,RFR,5,XLU,2023-03-31
105,30,5,3,log2,RFR,5,IYR,2023-03-31
71,25,5,3,sqrt,RFR,5,XLU,2023-03-31
70,25,3,2,sqrt,RFR,5,IYR,2023-03-31
50,30,3,3,log2,RFR,5,VOX,2023-03-31
130,12,6,3,log2,RFR,5,VOX,2023-03-31
68,22,6,2,sqrt,RFR,5,SPY,2023-03-31
175,20,3,3,sqrt,RFR,5,VOX,2023-03-31
175,23,4,1,sqrt,RFR,5,IYR,2023-03-31
90,25,4,2,log2,RFR,5,SPY,2023-03-31
174,12,2,3,log2,RFR,5,VOX,2023-03-31
61,29,5,2,log2,RFR,5,SPY,2023-03-31
184,13,5,2,sqrt,RFR,5,SPY,2023-03-31
114,20,4,3,log2,RFR,5,XLE,2023-04-30
51,10,3,3,log2,RFR,5,XLB,2023-04-30
62,20,4,3,sqrt,RFR,5,XLB,2023-04-30
178,16,5,3,log2,RFR,5,XLE,2023-04-30
146,12,6,3,log2,RFR,5,XLB,2023-04-30
199,17,3,3,log2,RFR,5,XLE,2023-04-30
71,13,3,3,sqrt,RFR,5,XLE,2023-04-30
129,16,3,1,sqrt,RFR,5,XLI,2023-04-30
68,21,5,3,log2,RFR,5,XLI,2023-04-30
172,23,3,3,sqrt,RFR,5,XLI,2023-04-30
164,30,3,1,sqrt,RFR,5,XLI,2023-04-30
162,18,2,3,sqrt,RFR,5,XLK,2023-04-30
196,14,3,3,sqrt,RFR,5,XLK,2023-04-30
176,15,3,3,log2,RFR,5,XLK,2023-04-30
53,23,3,3,sqrt,RFR,5,XLK,2023-04-30
171,21,2,3,sqrt,RFR,5,XLB,2023-04-30
79,21,4,2,sqrt,RFR,5,XLF,2023-04-30
163,26,6,1,log2,RFR,5,XLF,2023-04-30
142,29,3,3,sqrt,RFR,5,XLP,2023-04-30
73,22,3,1,sqrt,RFR,5,XLY,2023-04-30
154,26,4,2,sqrt,RFR,5,XLF,2023-04-30
154,24,2,2,log2,RFR,5,XLP,2023-04-30
147,29,5,3,log2,RFR,5,XLP,2023-04-30
181,16,5,1,log2,RFR,5,XLY,2023-04-30
54,24,4,3,log2,RFR,5,XLV,2023-04-30
151,15,3,2,sqrt,RFR,5,XLF,2023-04-30
184,10,2,3,sqrt,RFR,5,XLY,2023-04-30
135,18,3,3,sqrt,RFR,5,XLV,2023-04-30
149,28,2,3,log2,RFR,5,XLV,2023-04-30
166,23,3,2,sqrt,RFR,5,XLP,2023-04-30
146,18,5,3,sqrt,RFR,5,XLY,2023-04-30
71,26,2,3,sqrt,RFR,5,XLU,2023-04-30
155,12,3,3,sqrt,RFR,5,XLV,2023-04-30
199,13,6,3,log2,RFR,5,XLU,2023-04-30
99,30,2,3,log2,RFR,5,IYR,2023-04-30
174,19,4,2,log2,RFR,5,IYR,2023-04-30
80,10,6,3,log2,RFR,5,VOX,2023-04-30
198,18,2,3,sqrt,RFR,5,XLU,2023-04-30
54,12,2,3,sqrt,RFR,5,VOX,2023-04-30
76,16,5,3,sqrt,RFR,5,IYR,2023-04-30
135,19,2,3,sqrt,RFR,5,IYR,2023-04-30
188,10,4,3,sqrt,RFR,5,VOX,2023-04-30
166,21,4,3,sqrt,RFR,5,XLU,2023-04-30
183,22,5,3,sqrt,RFR,5,SPY,2023-04-30
173,16,3,3,log2,RFR,5,SPY,2023-04-30
133,30,2,3,sqrt,RFR,5,SPY,2023-04-30
150,27,4,3,sqrt,RFR,5,VOX,2023-04-30
200,16,5,3,log2,RFR,5,SPY,2023-04-30
57,12,4,3,sqrt,RFR,5,XLI,2023-05-31
77,14,3,3,sqrt,RFR,5,XLB,2023-05-31
113,15,6,3,sqrt,RFR,5,XLE,2023-05-31
112,18,4,3,log2,RFR,5,XLB,2023-05-31
126,23,5,3,log2,RFR,5,XLE,2023-05-31
72,13,4,1,sqrt,RFR,5,XLK,2023-05-31
196,26,2,3,sqrt,RFR,5,XLE,2023-05-31
151,21,5,2,sqrt,RFR,5,XLI,2023-05-31
157,17,6,3,log2,RFR,5,XLK,2023-05-31
73,19,2,3,log2,RFR,5,XLB,2023-05-31
186,22,4,3,sqrt,RFR,5,XLB,2023-05-31
131,30,2,1,log2,RFR,5,XLI,2023-05-31
172,22,6,3,log2,RFR,5,XLK,2023-05-31
54,30,5,2,sqrt,RFR,5,XLI,2023-05-31
184,24,2,3,sqrt,RFR,5,XLE,2023-05-31
