date,open,high,low,close,volume,dividend,split,gains,etf
2020-04-20,45.562147348041826,46.30029401326758,45.100805242305604,45.22998046875,4843200,0.0,0.0,0.0,XLB
2020-04-21,44.07662480715066,44.61177981470568,43.91054136900164,44.11353302001953,5987700,0.0,0.0,0.0,XLB
2020-04-22,45.0177546109246,45.32223851016024,44.53795849356639,44.9808464050293,3832600,0.0,0.0,0.0,XLB
2020-04-23,45.239204789542285,46.21725129978933,45.239204789542285,45.2945671081543,6383600,0.0,0.0,0.0,XLB
2020-04-24,45.663643227284005,46.13421062698443,45.16539290776994,46.005035400390625,4145700,0.0,0.0,0.0,XLB
2020-04-27,46.143433038187865,47.407512864637724,46.078845428925256,47.232200622558594,4861100,0.0,0.0,0.0,XLB
2020-04-28,48.00725357342174,48.3947827335818,47.51823211679559,48.10874938964844,6751900,0.0,0.0,0.0,XLB
2020-04-29,49.10525120551388,49.585047382135045,48.902259567777044,49.33592224121094,5876300,0.0,0.0,0.0,XLB
2020-04-30,48.56086376297805,48.56086376297805,47.795034292659324,47.86885070800781,5406800,0.0,0.0,0.0,XLB
2020-05-01,47.03844121186028,47.241432867009436,46.42946976617381,46.86313247680664,5067000,0.0,0.0,0.0,XLB
2020-05-04,46.503279487877364,47.09379674160424,46.041937443433184,47.02920913696289,5070500,0.0,0.0,0.0,XLB
2020-05-05,47.444417123079454,47.7858127915088,47.04766617826818,47.1491584777832,4517000,0.0,0.0,0.0,XLB
2020-05-06,47.27834233317041,47.638188626096564,46.291066951364364,46.33720397949219,3753200,0.0,0.0,0.0,XLB
2020-05-07,46.79854184421597,47.711997193944775,46.7339542344275,47.28756332397461,4122900,0.0,0.0,0.0,XLB
2020-05-08,47.970356771301184,48.487057710126614,47.82272742881375,48.42247009277344,3783500,0.0,0.0,0.0,XLB
2020-05-11,47.61972712214976,47.905756941452,47.19529327948414,47.6843147277832,4428600,0.0,0.0,0.0,XLB
2020-05-12,47.84117066365404,48.14565811560036,46.95539474487305,46.95539474487305,4200000,0.0,0.0,0.0,XLB
2020-05-13,46.72472511630539,46.91848794440421,45.54369052245272,45.96812438964844,5266100,0.0,0.0,0.0,XLB
2020-05-14,45.119265613850715,46.53097152709961,44.58410700740309,46.53097152709961,5421000,0.0,0.0,0.0,XLB
2020-05-15,46.23571214444648,46.97385890138081,46.00504106291942,46.93695068359375,4880600,0.0,0.0,0.0,XLB
2020-05-18,48.55164215071188,49.46510106742042,48.431695737624814,49.077571868896484,4425700,0.0,0.0,0.0,XLB
2020-05-19,48.893039454678075,49.28979043992823,48.56087256492348,48.60700607299805,4892900,0.0,0.0,0.0,XLB
2020-05-20,49.2528781646128,49.91720832211117,49.243649352561704,49.38205337524414,3799300,0.0,0.0,0.0,XLB
2020-05-21,49.234429159129306,49.50200842015435,48.726953556338934,48.9114875793457,5245700,0.0,0.0,0.0,XLB
2020-05-22,48.856131109085595,48.92994401785443,48.45937660514008,48.837677001953125,3732600,0.0,0.0,0.0,XLB
2020-05-26,49.94490417198386,50.443151039190994,49.76959189522006,50.175575256347656,4114400,0.0,0.0,0.0,XLB
2020-05-27,50.74762822778736,51.0152074759128,50.03716101022705,50.683040618896484,6991700,0.0,0.0,0.0,XLB
2020-05-28,51.39349859221014,51.568807281986444,50.655352109257194,51.15359878540039,5484700,0.0,0.0,0.0,XLB
2020-05-29,51.162837982177734,51.338146707541085,50.55386657015249,51.162837982177734,7386300,0.0,0.0,0.0,XLB
2020-06-01,51.18129518187338,51.697996096183395,51.10747875425138,51.51346206665039,3233400,0.0,0.0,0.0,XLB
2020-06-02,51.67953263207337,52.51917498556074,51.62417384114124,52.44536209106445,4327700,0.0,0.0,0.0,XLB
2020-06-03,53.10046927881712,54.02315337929964,53.03588167336419,53.63562774658203,4724100,0.0,0.0,0.0,XLB
2020-06-04,53.41418292325321,53.97702079729265,53.33114121200541,53.82939147949219,4503700,0.0,0.0,0.0,XLB
2020-06-05,55.2411016226155,55.628630813763415,55.02888468069961,55.20419692993164,5630000,0.0,0.0,0.0,XLB
2020-06-08,55.41641153828338,55.59172026037235,54.78898603218711,55.27800750732422,5256500,0.0,0.0,0.0,XLB
2020-06-09,54.64135843788883,54.96429649400084,54.28151216971807,54.60445022583008,6008900,0.0,0.0,0.0,XLB
2020-06-10,54.835119263824026,54.835119263824026,53.764805791634444,53.98624801635742,5192400,0.0,0.0,0.0,XLB
2020-06-11,52.454593359128204,52.61145149741428,49.60349914920619,49.81571960449219,29098400,0.0,0.0,0.0,XLB
2020-06-12,51.54113127434346,51.753348182147164,49.82493838889757,50.78453063964844,13931900,0.0,0.0,0.0,XLB
2020-06-15,49.44664670839614,51.62418199631156,49.16984215072709,51.31969451904297,6885700,0.0,0.0,0.0,XLB
2020-06-16,53.0912451065724,53.321916136559494,51.587269005523574,52.3900032043457,9502400,0.0,0.0,0.0,XLB
2020-06-17,52.722174472703934,52.7775367916581,51.80871908840589,51.95634841918945,4025400,0.0,0.0,0.0,XLB
2020-06-18,51.76257695924826,52.28850661829624,51.67030995651584,51.993247985839844,3567600,0.0,0.0,0.0,XLB
2020-06-19,52.86057522217215,52.952842228262355,51.46732019978974,51.836395263671875,7418500,0.0,0.0,0.0,XLB
2020-06-22,51.82433158483185,52.24182153286597,51.369730632728,52.028438568115234,3369400,0.307,0.0,0.0,XLB
2020-06-23,52.80774843333135,52.85413895798119,52.130488534825325,52.149044036865234,3116000,0.0,0.0,0.0,XLB
2020-06-24,51.59239403260302,51.64805700059419,50.47908866447698,50.62752914428711,5653000,0.0,0.0,0.0,XLB
2020-06-25,50.48836257285333,51.314066468184386,50.033765170458764,51.258399963378906,5254700,0.0,0.0,0.0,XLB
2020-06-26,51.06357817281925,51.15635215202543,50.24715370722318,50.553314208984375,8172900,0.0,0.0,0.0,XLB
2020-06-29,50.980073213164175,51.75938656500095,50.85946422538826,51.53672409057617,4939100,0.0,0.0,0.0,XLB
2020-06-30,51.3604525405362,52.585087311708236,51.21201206945778,52.278926849365234,3938900,0.0,0.0,0.0,XLB
2020-07-01,52.334596097024324,52.566534566438385,51.67589169327244,52.390262603759766,8146100,0.0,0.0,0.0,XLB
2020-07-02,53.123189936756724,53.809729421057185,53.011860453040605,53.37368392944336,8032900,0.0,0.0,0.0,XLB
2020-07-06,54.384923868993525,54.440590368105184,53.43861461869358,54.134429931640625,7864200,0.0,0.0,0.0,XLB
2020-07-07,53.74478560690186,54.31071607213085,53.707674600208065,54.15299606323242,7448700,0.0,0.0,0.0,XLB
2020-07-08,54.24576494706594,54.53336635542177,52.7799122678466,53.38295364379883,9166800,0.0,0.0,0.0,XLB
2020-07-09,53.633451344507385,53.70766981217802,52.28820755413893,52.8819694519043,15729400,0.0,0.0,0.0,XLB
2020-07-10,53.002580463641,53.86539186018762,52.9654694588411,53.80044937133789,4657100,0.0,0.0,0.0,XLB
2020-07-13,54.35710028693561,54.89519570013338,53.76333836653799,53.80044937133789,9034600,0.0,0.0,0.0,XLB
2020-07-14,53.689122875446685,55.2291943706239,53.624180378712154,55.15497589111328,9434100,0.0,0.0,0.0,XLB
2020-07-15,56.119828896877024,56.314656345415536,55.70233897922314,56.08271789550781,8228600,0.0,0.0,0.0,XLB
2020-07-16,56.194054202823764,56.69504216500978,55.989947209540496,56.26827621459961,5564400,0.0,0.0,0.0,XLB
2020-07-17,56.667209903585686,56.88986885766132,56.463102913099476,56.74142837524414,4077800,0.0,0.0,0.0,XLB
2020-07-20,56.713598490122465,56.86203897672576,56.15694401103482,56.24972152709961,3593200,0.0,0.0,0.0,XLB
2020-07-21,56.60226387462168,57.01975383738881,56.60226387462168,56.74142837524414,3777100,0.0,0.0,0.0,XLB
2020-07-22,56.648652852249086,57.41868672776835,56.63009735006667,57.40013122558594,2949700,0.0,0.0,0.0,XLB
2020-07-23,57.35375049938585,57.789796000513064,56.824931016321194,57.2238655090332,4414000,0.0,0.0,0.0,XLB
2020-07-24,57.01975413994446,57.32591462729832,56.704317670746676,57.02903366088867,5863500,0.0,0.0,0.0,XLB
2020-07-27,57.4001353398221,58.068119309867036,57.21458384379846,57.854736328125,3640900,0.0,0.0,0.0,XLB
2020-07-28,57.67845990873482,57.67845990873482,56.52804702183091,56.58371353149414,4570100,0.0,0.0,0.0,XLB
2020-07-29,56.769255553558814,57.21457696703097,56.676481586247945,57.047584533691406,4111500,0.0,0.0,0.0,XLB
2020-07-30,56.194055541013284,56.361051532385424,55.47968458661035,55.94356155395508,7021100,0.0,0.0,0.0,XLB
2020-07-31,56.04560496762761,56.13837892876173,55.29412314168205,55.99921798706055,5270700,0.0,0.0,0.0,XLB
2020-08-03,56.286830054080085,56.305385557642374,55.674512592926455,55.68379211425781,5538900,0.0,0.0,0.0,XLB
2020-08-04,55.46112965106756,56.60226657772718,55.349800168713074,56.472381591796875,7917500,0.0,0.0,0.0,XLB
2020-08-05,57.001199473569976,57.90112190694824,56.84348300620695,57.29808044433594,5896500,0.0,0.0,0.0,XLB
2020-08-06,57.22385785386924,57.37229832857175,56.834199395837594,57.056861877441406,6969700,0.0,0.0,0.0,XLB
2020-08-07,56.759981497088205,57.26096943139441,56.49093202802375,57.25168991088867,3985800,0.0,0.0,0.0,XLB
2020-08-10,57.307361629497215,57.808349609375,57.223863632850914,57.808349609375,3339100,0.0,0.0,0.0,XLB
2020-08-11,58.309329088439064,58.643321046603894,57.594961725708906,57.70629119873047,4487600,0.0,0.0,0.0,XLB
2020-08-12,58.4021118534791,58.467054346843454,57.91039985344838,58.049564361572266,3964500,0.0,0.0,0.0,XLB
2020-08-13,57.77124132629478,58.26294980800853,57.69701930839805,58.04029083251953,8426000,0.0,0.0,0.0,XLB
2020-08-14,57.78050484507532,58.337159241922386,57.706286382288944,58.105220794677734,2589800,0.0,0.0,0.0,XLB
2020-08-17,58.55982533390733,58.782487827707854,58.12378340632755,58.36499786376953,1859800,0.0,0.0,0.0,XLB
2020-08-18,58.55055674057944,58.66188623197823,58.06812422571704,58.1237907409668,2382000,0.0,0.0,0.0,XLB
2020-08-19,58.34644972824559,58.48561424683031,57.78979873210815,57.95679473876953,3104700,0.0,0.0,0.0,XLB
2020-08-20,57.52074705070281,57.78979655564669,57.363030572074,57.752685546875,2331200,0.0,0.0,0.0,XLB
2020-08-21,57.31663622999791,57.520743225568495,57.10325325240156,57.4186897277832,2756300,0.0,0.0,0.0,XLB
2020-08-24,58.15161001573031,58.43921497546531,57.95678256192595,58.429935455322266,3531600,0.0,0.0,0.0,XLB
2020-08-25,58.63404732812778,58.828874798209924,57.947507883280814,58.198001861572266,2877400,0.0,0.0,0.0,XLB
2020-08-26,58.1423378372144,58.91237530772132,57.993897348081795,58.81032180786133,2381400,0.0,0.0,0.0,XLB
2020-08-27,59.014426606988955,59.13503560588068,58.4763276420107,58.65260314941406,3648800,0.0,0.0,0.0,XLB
2020-08-28,58.94020141258333,59.404078341161124,58.67115548372428,59.34841537475586,2422900,0.0,0.0,0.0,XLB
2020-08-31,59.246357605559226,59.38552208972243,58.439212799072266,58.439212799072266,3054700,0.0,0.0,0.0,XLB
2020-09-01,58.43922719606889,60.14629473206872,58.20728869139011,60.08135223388672,9232800,0.0,0.0,0.0,XLB
2020-09-02,60.331828221798006,61.5379109878865,59.942173326243164,61.44513702392578,11455600,0.0,0.0,0.0,XLB
2020-09-03,61.361642404862316,61.361642404862316,59.116479664711385,59.747352600097656,14445600,0.0,0.0,0.0,XLB
2020-09-04,60.09989489508826,60.41533489327921,58.88453958375923,59.784461975097656,13963200,0.0,0.0,0.0,XLB
2020-09-08,59.19069994945052,59.23708693807031,58.21655903203338,58.66188049316406,8232900,0.0,0.0,0.0,XLB
2020-09-09,59.385532413605176,60.57305633893692,59.348421406163446,60.17412185668945,6618100,0.0,0.0,0.0,XLB
2020-09-10,60.471007787127405,60.69366677179987,59.49686322710794,59.60819625854492,7117300,0.0,0.0,0.0,XLB
2020-09-11,60.08135222410359,60.66583470764642,59.80302318725381,60.368953704833984,9721900,0.0,0.0,0.0,XLB
2020-09-14,60.86994386937356,61.417315362079684,60.628725834149684,61.24104690551758,5781400,0.0,0.0,0.0,XLB
2020-09-15,61.547182903002714,61.946117315000635,61.510078980295646,61.53791046142578,4305600,0.0,0.0,0.0,XLB
2020-09-16,61.67708586736716,62.28939979526093,61.40803637179836,61.58430480957031,9570600,0.0,0.0,0.0,XLB
2020-09-17,60.934872940015765,62.16878725500884,60.61016050928078,62.038902282714844,11613300,0.0,0.0,0.0,XLB
2020-09-18,62.2337384674806,62.2337384674806,60.90704999742265,60.97199249267578,9455000,0.0,0.0,0.0,XLB
2020-09-21,59.73971777198294,59.795649948611185,58.239003781002076,58.91945266723633,8035400,0.308,0.0,0.0,XLB
2020-09-22,58.9660591983548,59.18045047120677,58.54660697905091,59.03131103515625,5863700,0.0,0.0,0.0,XLB
2020-09-23,58.91945253346192,58.97538115419862,57.250952683678285,57.29756164550781,7441800,0.0,0.0,0.0,XLB
2020-09-24,57.26959636147937,58.29493308813003,56.79421552371774,57.70769500732422,11004700,0.0,0.0,0.0,XLB
2020-09-25,57.16706413087458,58.40678497915509,56.96199608069823,58.220359802246094,4434500,0.0,0.0,0.0,XLB
2020-09-28,59.04995076926682,59.646512073435204,58.80760051738956,59.161808013916016,4285300,0.0,0.0,0.0,XLB
2020-09-29,59.19908225780495,59.38550741809128,58.56524240205412,58.72370147705078,5666700,0.0,0.0,0.0,XLB
2020-09-30,58.98470210340123,59.804974335758104,58.85420554125887,59.32026672363281,6173600,0.0,0.0,0.0,XLB
2020-10-01,59.599901545469855,59.87953753822159,58.28560917934856,58.48135757446289,14577400,0.0,0.0,0.0,XLB
2020-10-02,57.819542172981265,59.46007932827586,57.64244022511737,59.00333786010742,13926600,0.0,0.0,0.0,XLB
2020-10-05,59.47873156602681,60.53203087261297,59.46008869135323,60.13121795654297,9320700,0.0,0.0,0.0,XLB
2020-10-06,60.42948547942207,60.923509120221816,59.2643326996007,59.37618637084961,15679400,0.0,0.0,0.0,XLB
2020-10-07,60.13121295742664,61.06333527902327,60.03800214757277,60.904869079589844,7138900,0.0,0.0,0.0,XLB
2020-10-08,61.37093375817075,61.75310734546546,61.20315855773427,61.520076751708984,6291600,0.0,0.0,0.0,XLB
2020-10-09,62.03275389223423,62.26578451224784,61.613294509291656,61.99546813964844,4773800,0.0,0.0,0.0,XLB
2020-10-12,62.34966706409595,62.42423856321828,61.85564332758727,61.89292907714844,4065600,0.0,0.0,0.0,XLB
2020-10-13,61.454825226310355,61.7997130470172,61.10993740560352,61.34296798706055,5170600,0.0,0.0,0.0,XLB
2020-10-14,61.40821950655531,61.92088965743129,61.324331906337065,61.520076751708984,4383500,0.0,0.0,0.0,XLB
2020-10-15,60.66252267166224,61.417539479893755,60.58795117882903,61.34296798706055,4374900,0.0,0.0,0.0,XLB
2020-10-16,61.706495495675526,62.06070653299532,61.52939708854464,61.77174377441406,10082500,0.0,0.0,0.0,XLB
2020-10-19,61.9768114092734,62.19120267313507,60.867590678161726,61.054012298583984,5413800,0.0,0.0,0.0,XLB
2020-10-20,61.417543594114484,61.84631903933464,61.00740746758675,61.1938362121582,4199900,0.0,0.0,0.0,XLB
2020-10-21,61.18451519026827,61.902253437419866,60.96080780029297,60.96080780029297,3900200,0.0,0.0,0.0,XLB
2020-10-22,60.93283670609847,61.370928209064125,60.326955794808995,61.296363830566406,3533200,0.0,0.0,0.0,XLB
2020-10-23,61.734468027037856,61.96749862079432,61.21247466118339,61.520076751708984,4116500,0.0,0.0,0.0,XLB
2020-10-26,60.74640709090337,60.75573030490223,59.516005969611484,59.9820671081543,7416800,0.0,0.0,0.0,XLB
2020-10-27,60.00071691456142,60.084604510688784,59.37619310475208,59.41347885131836,4656500,0.0,0.0,0.0,XLB
2020-10-28,57.95936766549776,58.527962864565346,57.5119493668293,57.73565673828125,7712300,0.0,0.0,0.0,XLB
2020-10-29,57.56788191450585,59.38552143369209,57.36281738998129,58.92878341674805,7543400,0.0,0.0,0.0,XLB
2020-10-30,58.686422879419105,59.13384118512483,57.95936857711788,58.8914909362793,7339900,0.0,0.0,0.0,XLB
2020-11-02,59.7770072448136,61.06334071449677,59.618548142804094,60.84894943237305,7934200,0.0,0.0,0.0,XLB
2020-11-03,61.57599865594836,62.11663131246328,61.15654645334172,61.799713134765625,8892100,0.0,0.0,0.0,XLB
